,"rho(0,0)","rho(0,1)","rho(0,2)","rho(0,3)","rho(1,0)","rho(1,1)","rho(1,2)","rho(1,3)","rho(2,0)","rho(2,1)","rho(2,2)","rho(2,3)","rho(3,0)","rho(3,1)","rho(3,2)","rho(3,3)"
14325,(0.133535432072481+0j),0j,0j,0j,0j,(0.366464567927519+0j),(-0.23292913585503802+0j),0j,0j,(-0.23292913585503802+0j),(0.366464567927519+0j),0j,0j,0j,0j,(0.133535432072481+0j)
14326,(0.15722618420264994+0j),0j,0j,0j,0j,(0.34277381579735+0j),(-0.18554763159470006+0j),0j,0j,(-0.18554763159470006+0j),(0.34277381579735+0j),0j,0j,0j,0j,(0.15722618420264994+0j)
14327,(0.1938394993006205+0j),0j,0j,0j,0j,(0.3061605006993795+0j),(-0.112321001398759+0j),0j,0j,(-0.112321001398759+0j),(0.3061605006993795+0j),0j,0j,0j,0j,(0.1938394993006205+0j)
14328,(0.14227045826550225+0j),0j,0j,0j,0j,(0.3577295417344977+0j),(-0.21545908346899548+0j),0j,0j,(-0.21545908346899548+0j),(0.3577295417344977+0j),0j,0j,0j,0j,(0.14227045826550225+0j)
14329,(0.05728178625947359+0j),0j,0j,0j,0j,(0.44271821374052633+0j),(-0.3854364274810527+0j),0j,0j,(-0.3854364274810527+0j),(0.44271821374052633+0j),0j,0j,0j,0j,(0.05728178625947359+0j)
14330,(0.048637507797683416+0j),0j,0j,0j,0j,(0.45136249220231656+0j),(-0.4027249844046331+0j),0j,0j,(-0.4027249844046331+0j),(0.45136249220231656+0j),0j,0j,0j,0j,(0.048637507797683416+0j)
14331,(0.2877400190849527+0j),0j,0j,0j,0j,(0.21225998091504722+0j),(0.07548003816990552+0j),0j,0j,(0.07548003816990552+0j),(0.21225998091504722+0j),0j,0j,0j,0j,(0.2877400190849527+0j)
14332,(0.03202566922240369+0j),0j,0j,0j,0j,(0.46797433077759637+0j),(-0.4359486615551927+0j),0j,0j,(-0.4359486615551927+0j),(0.46797433077759637+0j),0j,0j,0j,0j,(0.03202566922240369+0j)
14333,(0.046340442125227435+0j),0j,0j,0j,0j,(0.4536595578747725+0j),(-0.4073191157495451+0j),0j,0j,(-0.4073191157495451+0j),(0.4536595578747725+0j),0j,0j,0j,0j,(0.046340442125227435+0j)
14334,(0.11642234898578838+0j),0j,0j,0j,0j,(0.3835776510142116+0j),(-0.26715530202842325+0j),0j,0j,(-0.26715530202842325+0j),(0.3835776510142116+0j),0j,0j,0j,0j,(0.11642234898578838+0j)
14335,(0.07616177470966325+0j),0j,0j,0j,0j,(0.42383822529033677+0j),(-0.34767645058067354+0j),0j,0j,(-0.34767645058067354+0j),(0.42383822529033677+0j),0j,0j,0j,0j,(0.07616177470966325+0j)
14336,(0.15980089893343735+0j),0j,0j,0j,0j,(0.34019910106656265+0j),(-0.1803982021331253+0j),0j,0j,(-0.1803982021331253+0j),(0.34019910106656265+0j),0j,0j,0j,0j,(0.15980089893343735+0j)
14337,(0.31173960627865255+0j),0j,0j,0j,0j,(0.18826039372134754+0j),(0.123479212557305+0j),0j,0j,(0.123479212557305+0j),(0.18826039372134754+0j),0j,0j,0j,0j,(0.31173960627865255+0j)
14338,(0.08798019040107419+0j),0j,0j,0j,0j,(0.41201980959892587+0j),(-0.3240396191978517+0j),0j,0j,(-0.3240396191978517+0j),(0.41201980959892587+0j),0j,0j,0j,0j,(0.08798019040107419+0j)
14339,(0.3330871266443656+0j),0j,0j,0j,0j,(0.1669128733556344+0j),(0.16617425328873123+0j),0j,0j,(0.16617425328873123+0j),(0.1669128733556344+0j),0j,0j,0j,0j,(0.3330871266443656+0j)
14340,(0.1006746638039812+0j),0j,0j,0j,0j,(0.3993253361960188+0j),(-0.2986506723920376+0j),0j,0j,(-0.2986506723920376+0j),(0.3993253361960188+0j),0j,0j,0j,0j,(0.1006746638039812+0j)
14341,(0.08645667846961694+0j),0j,0j,0j,0j,(0.41354332153038303+0j),(-0.32708664306076607+0j),0j,0j,(-0.32708664306076607+0j),(0.41354332153038303+0j),0j,0j,0j,0j,(0.08645667846961694+0j)
14342,(0.12306590525035886+0j),0j,0j,0j,0j,(0.3769340947496411+0j),(-0.25386818949928225+0j),0j,0j,(-0.25386818949928225+0j),(0.3769340947496411+0j),0j,0j,0j,0j,(0.12306590525035886+0j)
14343,(0.1878253264211627+0j),0j,0j,0j,0j,(0.3121746735788373+0j),(-0.1243493471576746+0j),0j,0j,(-0.1243493471576746+0j),(0.3121746735788373+0j),0j,0j,0j,0j,(0.1878253264211627+0j)
14344,(0.204846343382953+0j),0j,0j,0j,0j,(0.295153656617047+0j),(-0.090307313234094+0j),0j,0j,(-0.090307313234094+0j),(0.295153656617047+0j),0j,0j,0j,0j,(0.204846343382953+0j)
14345,(0.004205962122056837+0j),0j,0j,0j,0j,(0.49579403787794324+0j),(-0.4915880757558864+0j),0j,0j,(-0.4915880757558864+0j),(0.49579403787794324+0j),0j,0j,0j,0j,(0.004205962122056837+0j)
14346,(0.05974387821370475+0j),0j,0j,0j,0j,(0.44025612178629525+0j),(-0.3805122435725905+0j),0j,0j,(-0.3805122435725905+0j),(0.44025612178629525+0j),0j,0j,0j,0j,(0.05974387821370475+0j)
14347,(0.23354360300247956+0j),0j,0j,0j,0j,(0.26645639699752044+0j),(-0.03291279399504088+0j),0j,0j,(-0.03291279399504088+0j),(0.26645639699752044+0j),0j,0j,0j,0j,(0.23354360300247956+0j)
14348,(0.02900420655142954+0j),0j,0j,0j,0j,(0.4709957934485705+0j),(-0.44199158689714096+0j),0j,0j,(-0.44199158689714096+0j),(0.4709957934485705+0j),0j,0j,0j,0j,(0.02900420655142954+0j)
14349,(0.3295849376243482+0j),0j,0j,0j,0j,(0.17041506237565177+0j),(0.15916987524869644+0j),0j,0j,(0.15916987524869644+0j),(0.17041506237565177+0j),0j,0j,0j,0j,(0.3295849376243482+0j)
14350,(0.26584997253854437+0j),0j,0j,0j,0j,(0.23415002746145566+0j),(0.031699945077088655+0j),0j,0j,(0.031699945077088655+0j),(0.23415002746145566+0j),0j,0j,0j,0j,(0.26584997253854437+0j)
14351,(0.1418616729556255+0j),0j,0j,0j,0j,(0.3581383270443745+0j),(-0.216276654088749+0j),0j,0j,(-0.216276654088749+0j),(0.3581383270443745+0j),0j,0j,0j,0j,(0.1418616729556255+0j)
14352,(0.05854039416364368+0j),0j,0j,0j,0j,(0.4414596058363563+0j),(-0.3829192116727126+0j),0j,0j,(-0.3829192116727126+0j),(0.4414596058363563+0j),0j,0j,0j,0j,(0.05854039416364368+0j)
14353,(0.07624721622316738+0j),0j,0j,0j,0j,(0.42375278377683256+0j),(-0.3475055675536652+0j),0j,0j,(-0.3475055675536652+0j),(0.42375278377683256+0j),0j,0j,0j,0j,(0.07624721622316738+0j)
14354,(0.171325797084401+0j),0j,0j,0j,0j,(0.328674202915599+0j),(-0.15734840583119802+0j),0j,0j,(-0.15734840583119802+0j),(0.328674202915599+0j),0j,0j,0j,0j,(0.171325797084401+0j)
14355,(0.23055638258137912+0j),0j,0j,0j,0j,(0.2694436174186209+0j),(-0.03888723483724177+0j),0j,0j,(-0.03888723483724177+0j),(0.2694436174186209+0j),0j,0j,0j,0j,(0.23055638258137912+0j)
14356,(0.09331251617865301+0j),0j,0j,0j,0j,(0.406687483821347+0j),(-0.313374967642694+0j),0j,0j,(-0.313374967642694+0j),(0.406687483821347+0j),0j,0j,0j,0j,(0.09331251617865301+0j)
